Frame         Time          Elec          VdW           Nonbond       Total         
168           168           -308.922      -69.0262      -377.949      -377.949      
169           169           -310.708      -70.0639      -380.772      -380.772      
170           170           -310.485      -71.4044      -381.889      -381.889      
171           171           -304.015      -72.8898      -376.905      -376.905      
172           172           -314.304      -73.0012      -387.305      -387.305      
173           173           -301.022      -68.6683      -369.69       -369.69       
174           174           -301.725      -64.7652      -366.49       -366.49       
175           175           -317.655      -74.0655      -391.72       -391.72       
176           176           -316.894      -72.4278      -389.322      -389.322      
177           177           -313.985      -69.7529      -383.738      -383.738      
178           178           -317.257      -72.8322      -390.089      -390.089      
179           179           -309.17       -69.2238      -378.394      -378.394      
180           180           -320.171      -68.6823      -388.853      -388.853      
181           181           -316.81       -67.7321      -384.543      -384.543      
182           182           -314.145      -69.9857      -384.131      -384.131      
183           183           -299.577      -72.3446      -371.922      -371.922      
184           184           -312.873      -72.407       -385.28       -385.28       
185           185           -300.4        -72.0235      -372.423      -372.423      
186           186           -320.11       -73.0078      -393.118      -393.118      
187           187           -314.162      -70.7565      -384.918      -384.918      
188           188           -308.821      -66.7451      -375.566      -375.566      
189           189           -307.587      -66.4305      -374.017      -374.017      
190           190           -311.416      -70.8841      -382.3        -382.3        
191           191           -322.203      -64.5397      -386.742      -386.742      
192           192           -315.693      -68.8328      -384.526      -384.526      
193           193           -306.854      -71.7748      -378.629      -378.629      
194           194           -314.571      -70.0582      -384.629      -384.629      
195           195           -306.835      -70.1219      -376.957      -376.957      
196           196           -317.645      -69.0246      -386.67       -386.67       
197           197           -297.218      -70.5063      -367.724      -367.724      
198           198           -295.132      -66.8575      -361.989      -361.989      
199           199           -298.555      -71.6632      -370.218      -370.218      
200           200           -295.664      -67.397       -363.061      -363.061      
201           201           -316.861      -72.3227      -389.184      -389.184      
202           202           -301.11       -66.604       -367.714      -367.714      
203           203           -303.498      -68.1346      -371.633      -371.633      
204           204           -312.733      -68.7101      -381.443      -381.443      
205           205           -311.474      -68.3044      -379.779      -379.779      
206           206           -306.327      -68.5773      -374.904      -374.904      
207           207           -295.477      -72.7542      -368.231      -368.231      
208           208           -304.477      -69.2121      -373.689      -373.689      
209           209           -298.956      -72.2905      -371.247      -371.247      
210           210           -310.75       -71.7126      -382.463      -382.463      
211           211           -315.565      -67.715       -383.279      -383.279      
212           212           -307.926      -65.6378      -373.564      -373.564      
213           213           -293.632      -71.6643      -365.297      -365.297      
