Frame         Time          Elec          VdW           Nonbond       Total         
221           221           -134.892      -61.9178      -196.809      -196.809      
222           222           -128.389      -52.8399      -181.229      -181.229      
223           223           -112.566      -58.4211      -170.987      -170.987      
224           224           -120.304      -59.1719      -179.476      -179.476      
225           225           -129.292      -63.7316      -193.023      -193.023      
226           226           -148.626      -60.602       -209.228      -209.228      
227           227           -123.259      -62.7402      -185.999      -185.999      
228           228           -133.044      -63.2374      -196.281      -196.281      
229           229           -135.458      -58.2224      -193.68       -193.68       
230           230           -126.142      -58.322       -184.464      -184.464      
231           231           -129.531      -61.145       -190.677      -190.677      
232           232           -133.588      -58.486       -192.074      -192.074      
233           233           -126.257      -64.1367      -190.393      -190.393      
234           234           -125.875      -59.1313      -185.006      -185.006      
235           235           -124.923      -60.8913      -185.815      -185.815      
236           236           -122.829      -61.8627      -184.692      -184.692      
237           237           -143.813      -61.5507      -205.364      -205.364      
238           238           -118.817      -60.985       -179.802      -179.802      
239           239           -136.648      -61.4616      -198.109      -198.109      
240           240           -144.454      -65.3864      -209.84       -209.84       
241           241           -156.301      -63.5944      -219.895      -219.895      
242           242           -121.771      -62.8945      -184.666      -184.666      
243           243           -131.963      -64.7871      -196.75       -196.75       
244           244           -142.093      -62.0623      -204.155      -204.155      
245           245           -124.445      -62.1027      -186.548      -186.548      
246           246           -134.969      -65.1185      -200.088      -200.088      
247           247           -125.265      -60.1758      -185.441      -185.441      
248           248           -126.716      -58.0614      -184.777      -184.777      
249           249           -88.8591      -60.5611      -149.42       -149.42       
250           250           -101.205      -56.5993      -157.804      -157.804      
251           251           -96.1868      -53.8744      -150.061      -150.061      
252           252           -103.21       -61.0558      -164.266      -164.266      
253           253           -98.6014      -63.8154      -162.417      -162.417      
254           254           -117.677      -62.5628      -180.239      -180.239      
255           255           -103.578      -64.8202      -168.398      -168.398      
256           256           -96.1669      -62.7792      -158.946      -158.946      
257           257           -122.671      -65.4472      -188.118      -188.118      
258           258           -112.838      -59.7613      -172.6        -172.6        
259           259           -129.603      -59.7496      -189.353      -189.353      
260           260           -127.195      -64.831       -192.026      -192.026      
261           261           -128.516      -58.2906      -186.806      -186.806      
262           262           -119.061      -56.1123      -175.174      -175.174      
263           263           -135.778      -59.0468      -194.825      -194.825      
264           264           -117.361      -62.0906      -179.451      -179.451      
265           265           -139.038      -64.3279      -203.366      -203.366      
266           266           -126.74       -61.8245      -188.565      -188.565      
267           267           -137.521      -63.3179      -200.839      -200.839      
268           268           -123.003      -59.9322      -182.936      -182.936      
269           269           -112.739      -61.797       -174.536      -174.536      
270           270           -103.9        -58.6895      -162.59       -162.59       
271           271           -130.458      -59.0581      -189.517      -189.517      
272           272           -104.478      -56.083       -160.561      -160.561      
273           273           -110.266      -56.4964      -166.763      -166.763      
274           274           -99.4188      -57.0956      -156.514      -156.514      
275           275           -110.174      -57.1817      -167.356      -167.356      
276           276           -104.924      -59.4918      -164.415      -164.415      
277           277           -108.78       -57.4169      -166.197      -166.197      
278           278           -109.356      -55.6568      -165.013      -165.013      
279           279           -110.302      -60.2132      -170.515      -170.515      
280           280           -111.25       -56.8339      -168.084      -168.084      
281           281           -118.022      -63.0901      -181.112      -181.112      
282           282           -110.445      -61.9611      -172.406      -172.406      
283           283           -114.083      -60.9114      -174.994      -174.994      
284           284           -115.788      -61.4638      -177.252      -177.252      
285           285           -119.08       -63.3759      -182.456      -182.456      
286           286           -111.238      -65.1448      -176.383      -176.383      
287           287           -98.2435      -56.2931      -154.537      -154.537      
288           288           -101.477      -56.1097      -157.587      -157.587      
289           289           -102.835      -60.0767      -162.912      -162.912      
290           290           -111.234      -59.364       -170.598      -170.598      
291           291           -101.21       -58.7415      -159.952      -159.952      
292           292           -102.373      -58.1829      -160.556      -160.556      
293           293           -112.751      -60.162       -172.913      -172.913      
294           294           -105.292      -56.9489      -162.241      -162.241      
295           295           -114.93       -57.8536      -172.784      -172.784      
296           296           -112.945      -57.8696      -170.815      -170.815      
297           297           -117.703      -57.4677      -175.17       -175.17       
298           298           -108.796      -54.8164      -163.613      -163.613      
299           299           -121.203      -59.352       -180.555      -180.555      
300           300           -119.514      -58.9653      -178.479      -178.479      
301           301           -109.48       -58.0929      -167.573      -167.573      
302           302           -113.719      -59.3756      -173.095      -173.095      
303           303           -133.319      -59.4119      -192.731      -192.731      
304           304           -117.256      -58.585       -175.841      -175.841      
305           305           -101.658      -55.0595      -156.717      -156.717      
306           306           -127.556      -57.3866      -184.943      -184.943      
307           307           -130.858      -59.7803      -190.638      -190.638      
308           308           -128.856      -61.5727      -190.429      -190.429      
309           309           -119.635      -57.0674      -176.703      -176.703      
310           310           -104.641      -58.2125      -162.853      -162.853      
311           311           -129.226      -61.656       -190.882      -190.882      
312           312           -127.211      -63.0886      -190.3        -190.3        
313           313           -136.066      -61.7898      -197.856      -197.856      
314           314           -137.449      -58.6085      -196.058      -196.058      
315           315           -147.264      -63.3013      -210.565      -210.565      
316           316           -137.982      -61.3229      -199.305      -199.305      
317           317           -140.379      -60.6224      -201.001      -201.001      
318           318           -132.497      -56.2143      -188.711      -188.711      
319           319           -104.187      -54.8395      -159.027      -159.027      
320           320           -118.083      -58.8619      -176.945      -176.945      
321           321           -100.011      -54.4226      -154.434      -154.434      
322           322           -123.276      -54.58        -177.856      -177.856      
323           323           -113.922      -59.6624      -173.584      -173.584      
324           324           -129.2        -58.9158      -188.115      -188.115      
325           325           -130.466      -55.395       -185.861      -185.861      
326           326           -116.909      -58.0003      -174.91       -174.91       
327           327           -113.913      -56.7324      -170.645      -170.645      
328           328           -124.155      -55.9033      -180.059      -180.059      
329           329           -142.074      -57.0454      -199.12       -199.12       
330           330           -119.262      -61.6783      -180.94       -180.94       
331           331           -131.069      -60.528       -191.597      -191.597      
332           332           -116.159      -61.4042      -177.563      -177.563      
333           333           -114.173      -60.1988      -174.372      -174.372      
334           334           -106.734      -59.0809      -165.815      -165.815      
335           335           -118.136      -61.625       -179.761      -179.761      
336           336           -104.137      -58.9836      -163.121      -163.121      
337           337           -112.899      -58.5189      -171.418      -171.418      
338           338           -102.2        -57.6179      -159.817      -159.817      
339           339           -106.699      -57.2524      -163.951      -163.951      
340           340           -110.225      -55.9526      -166.177      -166.177      
341           341           -113.064      -57.1206      -170.185      -170.185      
342           342           -118.02       -57.0227      -175.043      -175.043      
343           343           -124.959      -57.2299      -182.189      -182.189      
344           344           -116.911      -58.5988      -175.51       -175.51       
345           345           -111.928      -56.2753      -168.203      -168.203      
346           346           -137.752      -57.8583      -195.61       -195.61       
347           347           -111.556      -56.2135      -167.769      -167.769      
348           348           -112.687      -57.2552      -169.942      -169.942      
349           349           -110.513      -62.5476      -173.061      -173.061      
350           350           -125.071      -58.2954      -183.366      -183.366      
351           351           -120.279      -57.386       -177.665      -177.665      
352           352           -124.388      -59.5494      -183.937      -183.937      
353           353           -117.746      -56.5619      -174.308      -174.308      
354           354           -140.025      -60.5126      -200.538      -200.538      
355           355           -139.533      -61.3085      -200.842      -200.842      
356           356           -111.956      -59.1729      -171.129      -171.129      
357           357           -126.534      -59.5867      -186.12       -186.12       
358           358           -119.811      -57.049       -176.86       -176.86       
359           359           -129.605      -56.5023      -186.107      -186.107      
360           360           -111.693      -58.0738      -169.767      -169.767      
361           361           -120.511      -59.367       -179.878      -179.878      
362           362           -115.016      -56.351       -171.368      -171.368      
363           363           -106.972      -59.5023      -166.474      -166.474      
364           364           -99.8569      -58.9677      -158.825      -158.825      
365           365           -113.769      -59.2228      -172.992      -172.992      
366           366           -123.724      -58.9309      -182.655      -182.655      
367           367           -117.975      -54.3827      -172.358      -172.358      
368           368           -117.41       -57.8186      -175.229      -175.229      
369           369           -93.3352      -56.6033      -149.939      -149.939      
370           370           -109.12       -59.533       -168.653      -168.653      
371           371           -100.534      -55.1562      -155.691      -155.691      
372           372           -113.892      -59.4414      -173.334      -173.334      
373           373           -104.041      -60.2976      -164.338      -164.338      
374           374           -94.3034      -60.1877      -154.491      -154.491      
375           375           -99.7015      -62.1352      -161.837      -161.837      
376           376           -93.7654      -60.208       -153.973      -153.973      
377           377           -101          -55.6145      -156.614      -156.614      
378           378           -81.3749      -57.5387      -138.914      -138.914      
379           379           -100.635      -59.2284      -159.863      -159.863      
380           380           -111.543      -60.4366      -171.98       -171.98       
381           381           -105.9        -58.4857      -164.386      -164.386      
382           382           -108.52       -55.5803      -164.1        -164.1        
383           383           -103.709      -58.4545      -162.163      -162.163      
384           384           -102.999      -61.6729      -164.672      -164.672      
385           385           -95.6932      -61.3656      -157.059      -157.059      
386           386           -103.688      -59.0456      -162.733      -162.733      
387           387           -104.419      -60.9034      -165.323      -165.323      
388           388           -93.5724      -56.3575      -149.93       -149.93       
389           389           -100.857      -59.0901      -159.947      -159.947      
390           390           -96.5958      -54.9248      -151.521      -151.521      
391           391           -113.52       -60.3154      -173.836      -173.836      
392           392           -91.4019      -57.2613      -148.663      -148.663      
393           393           -91.8045      -61.5517      -153.356      -153.356      
394           394           -112.045      -58.3894      -170.434      -170.434      
395           395           -130.449      -56.9786      -187.428      -187.428      
396           396           -99.5589      -57.4464      -157.005      -157.005      
397           397           -113.527      -58.3371      -171.864      -171.864      
398           398           -111.36       -56.4886      -167.849      -167.849      
399           399           -123.772      -57.8321      -181.604      -181.604      
400           400           -113.161      -53.6862      -166.847      -166.847      
401           401           -110.574      -55.5293      -166.103      -166.103      
402           402           -114.253      -61.1652      -175.418      -175.418      
403           403           -115.321      -56.8066      -172.127      -172.127      
404           404           -100.559      -61.0085      -161.568      -161.568      
405           405           -109.311      -57.8543      -167.165      -167.165      
406           406           -93.7318      -54.9987      -148.731      -148.731      
407           407           -111.437      -59.6362      -171.073      -171.073      
408           408           -118.795      -61.116       -179.911      -179.911      
409           409           -135.246      -61.6836      -196.93       -196.93       
410           410           -127.152      -60.2633      -187.415      -187.415      
411           411           -129.097      -54.7062      -183.804      -183.804      
412           412           -134.577      -58.1822      -192.76       -192.76       
413           413           -144.198      -63.026       -207.224      -207.224      
414           414           -128.18       -67.0706      -195.251      -195.251      
415           415           -124.929      -61.9958      -186.925      -186.925      
416           416           -130.231      -60.9208      -191.151      -191.151      
417           417           -133.231      -60.7309      -193.962      -193.962      
418           418           -144.794      -62.3062      -207.1        -207.1        
419           419           -125.8        -58.1146      -183.915      -183.915      
420           420           -116.727      -60.7138      -177.441      -177.441      
421           421           -120.186      -64.0733      -184.259      -184.259      
422           422           -130.943      -60.6089      -191.552      -191.552      
423           423           -122.738      -60.7177      -183.455      -183.455      
424           424           -148.384      -59.9026      -208.287      -208.287      
425           425           -140.409      -61.7691      -202.178      -202.178      
426           426           -135.628      -60.9223      -196.55       -196.55       
427           427           -128.788      -59.1033      -187.891      -187.891      
428           428           -137.813      -62.3978      -200.21       -200.21       
429           429           -126.89       -58.3276      -185.218      -185.218      
430           430           -124.882      -61.3748      -186.257      -186.257      
431           431           -121.12       -59.3164      -180.436      -180.436      
432           432           -121.877      -54.8692      -176.746      -176.746      
433           433           -121.8        -60.0094      -181.81       -181.81       
434           434           -130.367      -61.8283      -192.195      -192.195      
435           435           -132.838      -65.5136      -198.352      -198.352      
436           436           -130.183      -63.3116      -193.494      -193.494      
437           437           -107.863      -61.2175      -169.08       -169.08       
438           438           -119.282      -61.195       -180.477      -180.477      
439           439           -138.148      -60.3207      -198.469      -198.469      
440           440           -118.093      -61.5285      -179.622      -179.622      
441           441           -131.568      -58.6967      -190.264      -190.264      
442           442           -125.423      -60.0291      -185.452      -185.452      
443           443           -128.018      -61.2952      -189.313      -189.313      
444           444           -116.608      -62.3118      -178.92       -178.92       
445           445           -113.119      -58.8034      -171.922      -171.922      
446           446           -123.974      -62.0978      -186.072      -186.072      
447           447           -117.45       -58.4666      -175.916      -175.916      
448           448           -103.654      -58.7264      -162.381      -162.381      
449           449           -101.948      -60.5017      -162.45       -162.45       
450           450           -118.852      -61.9509      -180.803      -180.803      
451           451           -125.909      -60.7949      -186.704      -186.704      
452           452           -128.517      -62.5004      -191.017      -191.017      
453           453           -123.778      -62.8005      -186.579      -186.579      
454           454           -113.428      -60.945       -174.373      -174.373      
455           455           -119.638      -58.5924      -178.231      -178.231      
456           456           -118.715      -56.29        -175.005      -175.005      
457           457           -122.037      -63.1212      -185.158      -185.158      
458           458           -135.461      -59.9706      -195.432      -195.432      
459           459           -133.461      -61.3546      -194.816      -194.816      
460           460           -107.859      -59.4298      -167.289      -167.289      
461           461           -115.257      -61.0211      -176.278      -176.278      
462           462           -113.018      -62.4959      -175.514      -175.514      
463           463           -129.718      -61.646       -191.363      -191.363      
464           464           -120.534      -60.9593      -181.494      -181.494      
